PRES,HGHT,TEMP,DWPT,FRPT,RELH,RELI,MIXR,DRCT,SKNT,THTA,THTE,THTV
11.9,29852.33333333333,-45.06111111111111,-82.75,-78.57222222222222,0.6666666666666666,1.0555555555555556,0.0377777777777777,133.61111111111111,25.33333333333333,808.8166666666667,809.2777777777778,808.8277777777778
12.0,29801.8,-44.92769230769231,-82.87692307692308,-78.71692307692308,0.6923076923076923,1.0307692307692309,0.0367692307692307,109.3076923076923,33.98461538461538,807.54,807.9892307692309,807.5615384615385
12.1,29691.92307692308,-44.9076923076923,-83.07692307692308,-78.92307692307692,0.6153846153846154,1.0769230769230769,0.0346153846153846,126.3076923076923,33.23076923076923,805.7384615384616,806.176923076923,805.7615384615384
12.2,29660.846153846152,-44.66153846153846,-82.64615384615385,-78.46923076923078,0.6153846153846154,1.0769230769230769,0.0376923076923076,112.76923076923076,36.61538461538461,804.6692307692308,805.1307692307693,804.6923076923077
12.3,29626.33333333333,-45.59333333333333,-83.39333333333335,-79.25333333333333,0.6666666666666666,1.0,0.0306666666666666,105.6,31.53333333333333,799.4133333333334,799.8,799.42
12.4,29570.42307692308,-45.01153846153846,-83.04615384615384,-78.88461538461539,0.6538461538461539,1.0769230769230769,0.0338461538461538,122.15384615384616,32.34615384615385,799.6115384615385,800.0230769230768,799.6192307692307
12.5,29551.5,-45.675,-82.86,-78.705,0.75,1.05,0.036,104.9,21.4,795.615,796.045,795.625
12.6,29491.222222222223,-45.11666666666667,-83.24444444444445,-79.10555555555555,0.5,1.0555555555555556,0.0322222222222222,166.72222222222223,29.61111111111111,795.8222222222222,796.2166666666667,795.838888888889
12.7,29334.5,-45.55,-82.325,-78.125,0.75,1.0,0.04,152.75,38.0,792.375,792.825,792.4
12.8,29344.636363636364,-44.4,-82.99090909090908,-78.84545454545454,0.7272727272727273,1.0,0.0327272727272727,77.36363636363636,32.63636363636363,794.5636363636364,795.0,794.6090909090909
12.9,29297.0,-45.30833333333334,-83.22500000000001,-79.08333333333333,0.5833333333333334,1.0,0.0316666666666666,107.33333333333331,36.833333333333336,789.6999999999999,790.0916666666667,789.725
